Sensor,Date_Time,Date,Time,Count
Princes Bridge,2018-12-31T17:00:00Z,2019-01-01,4,483
Flinders Street Station Underpass,2018-12-31T17:00:00Z,2019-01-01,4,911
Birrarung Marr,2018-12-31T17:00:00Z,2019-01-01,4,83
Webb Bridge,2018-12-31T17:00:00Z,2019-01-01,4,25
Southern Cross Station,2018-12-31T17:00:00Z,2019-01-01,4,29
Victoria Point,2018-12-31T17:00:00Z,2019-01-01,4,31
Waterfront City,2018-12-31T17:00:00Z,2019-01-01,4,5
New Quay,2018-12-31T17:00:00Z,2019-01-01,4,60
Flagstaff Station,2018-12-31T17:00:00Z,2019-01-01,4,NA
Sandridge Bridge,2018-12-31T17:00:00Z,2019-01-01,4,766
State Library,2018-12-31T17:00:00Z,2019-01-01,4,133
Collins St (North),2018-12-31T17:00:00Z,2019-01-01,4,79
Collins Place (South),2018-12-31T17:00:00Z,2019-01-01,4,43
Collins Place (North),2018-12-31T17:00:00Z,2019-01-01,4,8
Chinatown-Swanston St (North),2018-12-31T17:00:00Z,2019-01-01,4,155
Chinatown-Lt Bourke St (South),2018-12-31T17:00:00Z,2019-01-01,4,149
Bourke St-Russell St (West),2018-12-31T17:00:00Z,2019-01-01,4,405
Flinders St-Elizabeth St (East),2018-12-31T17:00:00Z,2019-01-01,4,NA
Spencer St-Collins St (South),2018-12-31T17:00:00Z,2019-01-01,4,87
Spencer St-Collins St (North),2018-12-31T17:00:00Z,2019-01-01,4,346
Melbourne Convention Exhibition Centre,2018-12-31T17:00:00Z,2019-01-01,4,258
QV Market-Elizabeth St (West),2018-12-31T17:00:00Z,2019-01-01,4,197
QV Market-Peel St,2018-12-31T17:00:00Z,2019-01-01,4,23
The Arts Centre,2018-12-31T17:00:00Z,2019-01-01,4,109
St Kilda Rd-Alexandra Gardens,2018-12-31T17:00:00Z,2019-01-01,4,134
Lonsdale St (South),2018-12-31T17:00:00Z,2019-01-01,4,321
Lygon St (West),2018-12-31T17:00:00Z,2019-01-01,4,28
City Square,2018-12-31T17:00:00Z,2019-01-01,4,NA
Flinders St-Spring St (West),2018-12-31T17:00:00Z,2019-01-01,4,18
Flinders St-Spark La,2018-12-31T17:00:00Z,2019-01-01,4,10
Southbank,2018-12-31T17:00:00Z,2019-01-01,4,544
Queen St (West),2018-12-31T17:00:00Z,2019-01-01,4,96
Lygon St (East),2018-12-31T17:00:00Z,2019-01-01,4,9
Flinders St-Swanston St (West),2018-12-31T17:00:00Z,2019-01-01,4,160
Alfred Place,2018-12-31T17:00:00Z,2019-01-01,4,15
Lonsdale St-Spring St (West),2018-12-31T17:00:00Z,2019-01-01,4,4
Grattan St-Swanston St (West),2018-12-31T17:00:00Z,2019-01-01,4,4
Monash Rd-Swanston St (West),2018-12-31T17:00:00Z,2019-01-01,4,NA
Tin Alley-Swanston St (West),2018-12-31T17:00:00Z,2019-01-01,4,1
Bourke Street Mall (North),2018-12-31T18:00:00Z,2019-01-01,5,117
Bourke Street Mall (South),2018-12-31T18:00:00Z,2019-01-01,5,53
Melbourne Central,2018-12-31T18:00:00Z,2019-01-01,5,NA
Town Hall (West),2018-12-31T18:00:00Z,2019-01-01,5,209
Princes Bridge,2018-12-31T18:00:00Z,2019-01-01,5,267
Flinders Street Station Underpass,2018-12-31T18:00:00Z,2019-01-01,5,506
Birrarung Marr,2018-12-31T18:00:00Z,2019-01-01,5,46
Webb Bridge,2018-12-31T18:00:00Z,2019-01-01,5,30
Southern Cross Station,2018-12-31T18:00:00Z,2019-01-01,5,30
Victoria Point,2018-12-31T18:00:00Z,2019-01-01,5,17
Waterfront City,2018-12-31T18:00:00Z,2019-01-01,5,1
New Quay,2018-12-31T18:00:00Z,2019-01-01,5,29
Flagstaff Station,2018-12-31T18:00:00Z,2019-01-01,5,NA
Sandridge Bridge,2018-12-31T18:00:00Z,2019-01-01,5,469
State Library,2018-12-31T18:00:00Z,2019-01-01,5,110
Collins St (North),2018-12-31T18:00:00Z,2019-01-01,5,56
Collins Place (South),2018-12-31T18:00:00Z,2019-01-01,5,35
Collins Place (North),2018-12-31T18:00:00Z,2019-01-01,5,11
Chinatown-Swanston St (North),2018-12-31T18:00:00Z,2019-01-01,5,93
Chinatown-Lt Bourke St (South),2018-12-31T18:00:00Z,2019-01-01,5,65
Bourke St-Russell St (West),2018-12-31T18:00:00Z,2019-01-01,5,249
Flinders St-Elizabeth St (East),2018-12-31T18:00:00Z,2019-01-01,5,NA
Spencer St-Collins St (South),2018-12-31T18:00:00Z,2019-01-01,5,50
Spencer St-Collins St (North),2018-12-31T18:00:00Z,2019-01-01,5,284
Melbourne Convention Exhibition Centre,2018-12-31T18:00:00Z,2019-01-01,5,88
QV Market-Elizabeth St (West),2018-12-31T18:00:00Z,2019-01-01,5,130
QV Market-Peel St,2018-12-31T18:00:00Z,2019-01-01,5,15
The Arts Centre,2018-12-31T18:00:00Z,2019-01-01,5,64
St Kilda Rd-Alexandra Gardens,2018-12-31T18:00:00Z,2019-01-01,5,63
Lonsdale St (South),2018-12-31T18:00:00Z,2019-01-01,5,279
Lygon St (West),2018-12-31T18:00:00Z,2019-01-01,5,18
City Square,2018-12-31T18:00:00Z,2019-01-01,5,NA
Flinders St-Spring St (West),2018-12-31T18:00:00Z,2019-01-01,5,20
Flinders St-Spark La,2018-12-31T18:00:00Z,2019-01-01,5,16
